Kor MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:  ,10/18/2023 9:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,83.8321,8.0009,8.6014,739.3771,33055.3756,31.0911,0.8832,0,48130.3977,0.0202,0.0673,-0.3458,6.4,11.9,-3.3487,59.4678,-151.5184,86.1656,87.5069,48974.1282,31284.7786,-6.3198,30,24.116,0,0,5.5379,5.7716,8.4071,24.1618,
,,,STANDARD DEVIATION:,0.5959,0.0536,0.0081,0.1732,61.9597,0.0565,0.6629,0,80.3575,0.2348,0.0583,0.2878,0,0,0.8052,0,0,0.6259,0.6301,81.8754,52.2094,3.2014,0,0.0459,0,0,3.4604,3.4641,5.0463,0.0756,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,INSTRUMENT NAME:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,23G100693,23G100693,23H103732,23H106348,23H103732,23H103732,23H105119,23H105119,23H103732,23H105951,23H105951,23H105951,23J102724,23J102724,23H105951,23H106348,23H106348,23G100693,23G100693,23H103732,23H103732,23H106348,23H103732,23H103732,23H105951,23H105951,23H102976,23H102976,23H102976,23H103732,
Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,DO ( % Sat ),DO ( mg/L ),Temp ( °C ),Barometer ( mmHg ),Cond ( µS/cm ),Sal ( psu ),Turbidity ( FNU ),TSS ( mg/L ),Sp Cond ( µS/cm ),Chlorophyll ( µg/L ),Chlorophyll ( RFU ),Phycoerythrin ( RFU ),Battery Power ( voltage ),Cable Power ( voltage ),Phycoerythrin ( µg/L ),GPS Latitude ( ° ),GPS Longitude ( ° ),DO ( % LocalB ),DO ( % CB ),nLFCond ( µS/cm ),TDS ( mg/L ),Altitude ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma-T ),Chlorophyll ( cells/mL ),Phycoerythrin ( cells/mL ),Vertical Position ( m ),Depth ( m ),Absolute Pressure ( psi a ),Water Density ( Sigma ),Fault Code
10/17/2023,4:02:25 PM,0,BCF1,84.6,8.07,8.618,739.5,33177.1,31.2,3.24,0,48286,1.6,0.46,0.65,6.4,11.9,-0.55,59.46783,-151.5184,87,88.3,49132.7,31386,-5.1,30,24.2,0,0,12.073,12.255,17.852,24.3,0
10/17/2023,4:02:26 PM,0,BCF1,84.6,8.07,8.618,739.6,33177.6,31.2,3,0,48286.7,1.4,0.41,0.66,6.4,11.9,-0.54,59.46782,-151.5184,87,88.4,49133.4,31386,-6.9,30,24.2,0,0,12.07,12.249,17.843,24.3,0
10/17/2023,4:02:27 PM,0,BCF1,84.7,8.07,8.618,739.3,33178.6,31.2,3.26,0,48288.2,1.17,0.35,0.66,6.4,11.9,-0.54,59.46782,-151.5184,87,88.4,49135,31387,-8.4,30,24.2,0,0,12.051,12.234,17.822,24.3,0
10/17/2023,4:02:28 PM,0,BCF1,84.7,8.07,8.618,739.5,33179.9,31.2,3.48,0,48290.2,0.8,0.26,0.66,6.4,11.9,-0.53,59.46782,-151.5184,87,88.4,49136.9,31389,-8.8,30,24.2,0,0,11.973,12.223,17.805,24.3,0
10/17/2023,4:02:29 PM,0,BCF1,84.7,8.08,8.618,739.1,33180.9,31.21,3.43,0,48291.6,0.54,0.2,0.67,6.4,11.9,-0.52,59.46783,-151.51842,87.1,88.4,49138.4,31390,-8.6,30,24.2,0,0,11.866,12.206,17.782,24.3,0
10/17/2023,4:02:31 PM,0,BCF1,84.8,8.08,8.617,739.3,33185.8,31.21,3.06,0,48298.8,0.12,0.09,0.69,6.4,11.9,-0.45,59.46783,-151.5184,87.1,88.5,49145.8,31394,-7.8,30,24.2,0,0,11.582,12.159,17.712,24.3,0
10/17/2023,4:02:32 PM,0,BCF1,84.8,8.08,8.617,739.1,33187.4,31.21,2.82,0,48301.1,0.06,0.08,0.69,6.4,11.9,-0.45,59.46783,-151.51842,87.2,88.5,49148.1,31396,-9,30,24.2,0,0,11.489,12.134,17.676,24.3,0
10/17/2023,4:02:33 PM,0,BCF1,84.8,8.09,8.617,739.4,33188.2,31.21,2.61,0,48302.2,0.03,0.07,0.65,6.4,11.9,-0.55,59.46783,-151.51842,87.2,88.5,49149.2,31396,-10.3,30,24.2,0,0,11.392,11.316,16.485,24.3,0
10/17/2023,4:02:34 PM,0,BCF1,84.8,8.09,8.617,739.3,33188.4,31.21,2.46,0,48302.7,0,0.06,0.55,6.4,11.9,-0.83,59.46783,-151.51842,87.2,88.6,49149.6,31397,-9.8,30,24.2,0,0,11.255,11.183,16.291,24.3,0
10/17/2023,4:02:35 PM,0,BCF1,84.8,8.09,8.617,739.4,33188.5,31.21,2.31,0,48302.8,-0.03,0.05,0.42,6.4,11.9,-1.22,59.46783,-151.51842,87.2,88.6,49149.8,31397,-9.7,30,24.2,0,0,11.116,11.056,16.105,24.3,0
10/17/2023,4:02:36 PM,0,BCF1,84.9,8.09,8.617,739.2,33187.6,31.21,2.2,0,48301.3,-0.05,0.05,0.08,6.4,11.9,-2.15,59.46784,-151.5184,87.3,88.6,49148.3,31396,-8.1,30,24.2,0,0,10.983,11.03,16.068,24.3,0
10/17/2023,4:02:37 PM,0,BCF1,84.9,8.09,8.618,739.5,33185.8,31.21,2.09,0,48298.8,-0.04,0.05,-0.11,6.4,11.9,-2.7,59.46784,-151.51839,87.2,88.6,49145.7,31394,-7.3,30,24.2,0,0,10.886,10.948,15.948,24.3,0
10/17/2023,4:02:38 PM,0,BCF1,84.9,8.09,8.617,739.1,33182.8,31.21,1.98,0,48294.5,-0.03,0.05,-0.29,6.4,11.9,-3.2,59.46784,-151.5184,87.3,88.6,49141.3,31391,-7.6,30,24.2,0,0,10.753,10.875,15.843,24.3,0
10/17/2023,4:02:39 PM,0,BCF1,84.9,8.1,8.617,739.3,33179.1,31.2,1.79,0,48289.3,-0.04,0.05,-0.35,6.4,11.9,-3.37,59.46784,-151.5184,87.3,88.6,49136,31388,-7.9,30,24.2,0,0,10.604,10.796,15.727,24.3,0
10/17/2023,4:02:40 PM,0,BCF1,84.9,8.1,8.617,739,33175.1,31.2,1.59,0,48283.6,-0.05,0.05,-0.4,6.4,11.9,-3.5,59.46784,-151.51839,87.3,88.6,49130.3,31384,-6.8,30,24.2,0,0,10.508,10.734,15.637,24.3,0
10/17/2023,4:02:41 PM,0,BCF1,84.9,8.1,8.617,739.2,33170.6,31.2,1.4,0,48277.2,-0.08,0.04,-0.42,6.4,11.9,-3.55,59.46784,-151.51839,87.3,88.7,49123.7,31380,-6.6,30,24.2,0,0,10.437,10.711,15.604,24.3,0
10/17/2023,4:02:42 PM,0,BCF1,84.9,8.1,8.617,739.3,33165.6,31.19,1.18,0,48270.3,-0.07,0.04,-0.45,6.4,11.9,-3.64,59.46785,-151.5184,87.3,88.7,49116.7,31376,-6,30,24.2,0,0,10.308,10.638,15.497,24.3,0
10/17/2023,4:02:43 PM,0,BCF1,84.9,8.1,8.616,739,33159.8,31.19,0.99,0,48262.6,-0.07,0.04,-0.45,6.4,11.9,-3.63,59.46784,-151.5184,87.3,88.6,49108.8,31371,-6.2,30,24.2,0,0,10.202,10.58,15.411,24.3,0
10/17/2023,4:02:45 PM,0,BCF1,84.9,8.1,8.615,739,33147.9,31.17,0.72,0,48246.4,-0.06,0.05,-0.44,6.4,11.9,-3.62,59.46784,-151.5184,87.3,88.6,49092.4,31360,-6.5,30,24.2,0,0,9.994,10.439,15.206,24.3,0
10/17/2023,4:02:47 PM,0,BCF1,84.9,8.09,8.614,739.3,33135.3,31.16,0.71,0,48229.7,-0.08,0.04,-0.45,6.4,11.9,-3.65,59.46785,-151.51839,87.2,88.6,49075.4,31349,-5.3,30,24.2,0,0,9.741,10.328,15.045,24.2,0
10/17/2023,4:02:48 PM,0,BCF1,84.8,8.09,8.613,739.5,33128.8,31.16,0.7,0,48221.1,-0.06,0.05,-0.44,6.4,11.9,-3.62,59.46785,-151.51837,87.2,88.6,49066.6,31344,-3.9,30,24.2,0,0,9.668,10.278,14.972,24.2,0
10/17/2023,4:02:49 PM,0,BCF1,84.8,8.09,8.613,739.2,33121.9,31.15,0.67,0,48211.7,-0.06,0.05,-0.44,6.4,11.9,-3.61,59.46786,-151.51837,87.2,88.5,49057,31338,-3.5,30,24.2,0,0,9.586,10.23,14.901,24.2,0
10/17/2023,4:02:50 PM,0,BCF1,84.8,8.09,8.612,738.9,33116.9,31.14,0.66,0,48205.4,-0.07,0.04,-0.46,6.4,11.9,-3.66,59.46785,-151.51836,87.2,88.5,49050.6,31333,-4.1,30,24.2,0,0,9.47,9.419,13.721,24.2,0
10/17/2023,4:02:51 PM,0,BCF1,84.7,8.08,8.612,739.6,33112.1,31.14,0.63,0,48199.4,-0.05,0.05,-0.44,6.4,11.9,-3.61,59.46785,-151.51836,87.1,88.5,49044.5,31330,-4.8,30,24.2,0,0,9.355,9.326,13.585,24.2,0
10/17/2023,4:02:52 PM,0,BCF1,84.7,8.08,8.611,739.3,33108.3,31.14,0.63,0,48194.7,-0.03,0.05,-0.43,6.4,11.9,-3.57,59.46785,-151.51836,87.1,88.4,49039.7,31327,-5.2,30,24.2,0,0,9.293,9.263,13.493,24.2,0
10/17/2023,4:02:53 PM,0,BCF1,84.7,8.08,8.61,739.3,33104.5,31.13,0.64,0,48190,-0.01,0.06,-0.44,6.4,11.9,-3.62,59.46785,-151.51837,87,88.4,49035,31324,-5.4,30,24.2,0,0,9.217,9.241,13.461,24.2,0
10/17/2023,4:02:54 PM,0,BCF1,84.6,8.07,8.61,739.5,33101,31.13,0.62,0,48185.8,-0.02,0.06,-0.43,6.4,11.9,-3.58,59.46785,-151.51837,87,88.3,49030.7,31321,-4.9,30,24.1,0,0,9.124,9.182,13.375,24.2,0
10/17/2023,4:02:55 PM,0,BCF1,84.6,8.07,8.609,739.3,33097.3,31.13,0.62,0,48181.3,-0.03,0.06,-0.44,6.4,11.9,-3.62,59.46786,-151.51837,86.9,88.3,49026,31318,-3.9,30,24.1,0,0,9.016,9.118,13.281,24.2,0
10/17/2023,4:02:56 PM,0,BCF1,84.5,8.07,8.608,739.3,33093.5,31.12,0.6,0,48176.6,-0.02,0.06,-0.45,6.4,11.9,-3.63,59.46786,-151.51836,86.9,88.3,49021.2,31315,-2.5,30,24.1,0,0,8.929,9.069,13.21,24.2,0
10/17/2023,4:02:57 PM,0,BCF1,84.5,8.06,8.608,739.6,33090.1,31.12,0.6,0,48172.5,-0.01,0.06,-0.45,6.4,11.9,-3.63,59.46787,-151.51836,86.9,88.2,49017.1,31312,-1,30,24.1,0,0,8.892,9.05,13.182,24.2,0
10/17/2023,4:02:58 PM,0,BCF1,84.5,8.06,8.607,739.1,33086.6,31.12,0.6,0,48168.3,0.03,0.07,-0.45,6.4,11.9,-3.65,59.46788,-151.51834,86.9,88.2,49012.8,31309,0.2,30,24.1,0,0,8.749,8.991,13.097,24.2,0
10/17/2023,4:02:59 PM,0,BCF1,84.4,8.06,8.607,739.3,33083.8,31.12,0.61,0,48164.8,0.01,0.06,-0.44,6.4,11.9,-3.61,59.46788,-151.51834,86.8,88.1,49009.2,31307,1.3,30,24.1,0,0,8.643,8.937,13.018,24.2,0
10/17/2023,4:03:00 PM,0,BCF1,84.4,8.05,8.606,739.2,33081.1,31.11,0.6,0,48161.7,0,0.06,-0.45,6.4,11.9,-3.64,59.46789,-151.51834,86.8,88.1,49006,31305,2.6,30,24.1,0,0,8.538,8.883,12.94,24.2,0
10/17/2023,4:03:01 PM,0,BCF1,84.4,8.05,8.606,739.2,33078.7,31.11,0.57,0,48158.7,0.01,0.06,-0.42,6.4,11.9,-3.56,59.46788,-151.51834,86.7,88.1,49003,31303,2.3,30,24.1,0,0,8.373,8.796,12.813,24.2,0
10/17/2023,4:03:02 PM,0,BCF1,84.3,8.05,8.605,739.6,33076.5,31.11,0.56,0,48156.1,0.02,0.07,-0.43,6.4,11.9,-3.59,59.46788,-151.51834,86.7,88,49000.4,31301,2.1,30,24.1,0,0,8.253,8.745,12.738,24.2,0
10/17/2023,4:03:03 PM,0,BCF1,84.3,8.04,8.605,739.4,33074.4,31.11,0.56,0,48153.7,0.04,0.07,-0.45,6.4,11.9,-3.63,59.46787,-151.51834,86.6,88,48997.9,31300,0.7,30,24.1,0,0,8.079,8.677,12.639,24.2,0
10/17/2023,4:03:04 PM,0,BCF1,84.3,8.04,8.604,739.6,33071.8,31.1,0.56,0,48150.5,0.02,0.07,-0.44,6.4,11.9,-3.61,59.46786,-151.51836,86.6,88,48994.6,31298,-0.6,30,24.1,0,0,7.962,7.896,11.502,24.2,0
10/17/2023,4:03:05 PM,0,BCF1,84.2,8.04,8.604,739.5,33069.2,31.1,0.57,0,48147.2,0.05,0.07,-0.44,6.4,11.9,-3.61,59.46786,-151.51836,86.6,87.9,48991.2,31296,-1.3,30,24.1,0,0,7.874,7.844,11.425,24.2,0
10/17/2023,4:03:06 PM,0,BCF1,84.2,8.04,8.603,739.3,33066.4,31.1,0.58,0,48143.7,0.04,0.07,-0.43,6.4,11.9,-3.59,59.46786,-151.51837,86.6,87.9,48987.7,31293,-2,30,24.1,0,0,7.819,7.781,11.333,24.2,0
10/17/2023,4:03:07 PM,0,BCF1,84.2,8.03,8.603,739.4,33064.6,31.1,0.57,0,48141.5,0.06,0.08,-0.45,6.4,11.9,-3.64,59.46786,-151.51837,86.5,87.9,48985.4,31292,-2.8,30,24.1,0,0,7.673,7.66,11.158,24.2,0
10/17/2023,4:03:08 PM,0,BCF1,84.1,8.03,8.603,739.4,33062.7,31.1,0.58,0,48139.3,0.06,0.08,-0.45,6.4,11.9,-3.65,59.46785,-151.51839,86.5,87.8,48983.2,31291,-3.3,30,24.1,0,0,7.537,7.584,11.046,24.2,0
10/17/2023,4:03:09 PM,0,BCF1,84.1,8.03,8.602,739.3,33061.6,31.1,0.59,0,48138.3,0.03,0.07,-0.44,6.4,11.9,-3.61,59.46785,-151.51839,86.4,87.8,48982.1,31290,-3.8,30,24.1,0,0,7.443,7.519,10.953,24.2,0
10/17/2023,4:03:10 PM,0,BCF1,84.1,8.02,8.602,739.2,33060.4,31.1,0.61,0,48137,0.04,0.07,-0.45,6.4,11.9,-3.65,59.46785,-151.51839,86.4,87.8,48980.8,31289,-4.1,30,24.1,0,0,7.408,7.477,10.891,24.2,0
