sep=,
Kor MEASUREMENT DATA FILE EXPORT

"FILE CREATED:  ",10/16/2023 6:22:57 PM

,,,MEAN VALUE:,84.6883,8.0951,8.5134,749.4935,33035.5805,31.1487,0.7045,0.0000,48219.5922,-0.0745,0.0427,-0.4592,6.4056,11.9000,-3.6674,59.4603,-151.5191,85.8792,88.4013,49063.5299,31342.7403,6.2104,30.0000,24.1792,0.0000,0.0000,6.3180,6.5284,9.5100,24.2377
,,,STANDARD DEVIATION:,0.1802,0.0098,0.0200,0.1693,80.9607,0.0664,0.0423,0.0000,92.0908,0.0465,0.0118,0.0309,0.0050,0.0000,0.0879,0.0000,0.0000,0.1833,0.1784,94.0094,59.8777,1.2034,0.0000,0.0406,0.0000,0.0000,3.2252,3.2380,4.7170,0.0774

,,,INSTRUMENT NAME:,
,,,SENSOR SERIAL NUMBER:,23G100693,23G100693,23H103732,23H106348,23H103732,23H103732,23H105119,23H105119,23H103732,23H105951,23H105951,23H105951,23J102724,23J102724,23H105951,23H106348,23H106348,23G100693,23G100693,23H103732,23H103732,23H106348,23H103732,23H103732,23H105951,23H105951,23H102976,23H102976,23H102976,23H103732
Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,DO ( % Sat ),DO ( mg/L ),Temp ( °C ),Barometer ( mmHg ),Cond ( µS/cm ),Sal ( psu ),Turbidity ( FNU ),TSS ( mg/L ),Sp Cond ( µS/cm ),Chlorophyll ( µg/L ),Chlorophyll ( RFU ),Phycoerythrin ( RFU ),Battery Power ( voltage ),Cable Power ( voltage ),Phycoerythrin ( µg/L ),GPS Latitude ( ° ),GPS Longitude ( ° ),DO ( % LocalB ),DO ( % CB ),nLFCond ( µS/cm ),TDS ( mg/L ),Altitude ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma-T ),Chlorophyll ( cells/mL ),Phycoerythrin ( cells/mL ),Vertical Position ( m ),Depth ( m ),Absolute Pressure ( psi a ),Water Density ( Sigma ),Fault Code
10/15/2023,01:39:20 PM,0,Sean BC,84.7,8.09,8.516,749.5,33067.2,31.18,0.74,0,48262.6,-0.15,0.02,-0.43,6.41,11.9,-3.58,59.46033,-151.51904,85.9,88.4,49107.3,31371,3.7,30,24.2,0,0,10.806,10.961,15.967,24.3,0
10/15/2023,01:39:21 PM,0,Sean BC,84.7,8.09,8.516,749.6,33069.2,31.18,0.72,0,48265.2,-0.14,0.03,-0.45,6.41,11.9,-3.63,59.46033,-151.51904,85.8,88.4,49109.9,31372,3.8,30,24.2,0,0,10.839,10.958,15.962,24.3,0
10/15/2023,01:39:22 PM,0,Sean BC,84.7,8.09,8.517,749.7,33071.0,31.18,0.70,0,48267.1,-0.13,0.03,-0.45,6.41,11.9,-3.65,59.46033,-151.51904,85.8,88.4,49111.9,31374,3.8,30,24.2,0,0,10.818,10.954,15.957,24.3,0
10/15/2023,01:39:23 PM,0,Sean BC,84.7,8.09,8.517,749.7,33071.6,31.18,0.71,0,48267.3,-0.14,0.03,-0.48,6.40,11.9,-3.74,59.46033,-151.51904,85.8,88.4,49112.1,31374,3.7,30,24.2,0,0,10.732,10.948,15.948,24.3,0
10/15/2023,01:39:24 PM,0,Sean BC,84.7,8.09,8.518,749.6,33072.6,31.18,0.69,0,48268.0,-0.13,0.03,-0.49,6.40,11.9,-3.76,59.46033,-151.51904,85.9,88.4,49112.8,31374,3.7,30,24.2,0,0,10.640,10.933,15.927,24.3,0
10/15/2023,01:39:26 PM,0,Sean BC,84.7,8.09,8.519,749.7,33075.6,31.18,0.68,0,48271.2,-0.10,0.04,-0.49,6.40,11.9,-3.76,59.46033,-151.51904,85.9,88.4,49116.1,31376,3.8,30,24.2,0,0,10.487,10.898,15.875,24.3,0
10/15/2023,01:39:27 PM,0,Sean BC,84.7,8.09,8.519,749.6,33076.4,31.18,0.68,0,48271.6,-0.09,0.04,-0.48,6.40,11.9,-3.74,59.46034,-151.51904,85.9,88.4,49116.6,31377,4.0,30,24.2,0,0,10.321,10.849,15.805,24.3,0
10/15/2023,01:39:28 PM,0,Sean BC,84.7,8.09,8.520,749.4,33076.9,31.18,0.69,0,48271.7,-0.04,0.05,-0.49,6.40,11.9,-3.74,59.46034,-151.51904,85.9,88.4,49116.7,31377,4.0,30,24.2,0,0,10.256,10.816,15.756,24.3,0
10/15/2023,01:39:30 PM,0,Sean BC,84.7,8.10,8.520,749.6,33078.8,31.19,0.72,0,48273.3,0.01,0.06,-0.49,6.40,11.9,-3.76,59.46034,-151.51904,85.9,88.4,49118.3,31378,4.6,30,24.2,0,0,10.076,10.029,14.609,24.3,0
10/15/2023,01:39:31 PM,0,Sean BC,84.7,8.10,8.521,749.4,33079.2,31.19,0.73,0,48273.7,0.01,0.06,-0.49,6.40,11.9,-3.76,59.46034,-151.51904,85.9,88.4,49118.7,31378,5.0,30,24.2,0,0,10.057,10.042,14.628,24.3,0
