Kor MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:  ,5/7/2024 0:35,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,116.0461,11.568,6.7673,744.7783,31297.6713,30.8499,0.552,0,48020.9235,6.0792,12,60.5627,-145.9605,118.4209,117.0435,48814.5835,31213.6,2.78,32,24.1861,4.7969,4.8093,7.0062,24.2165,
,,,STANDARD DEVIATION:,2.0342,0.2057,0.0695,0.1508,148.5742,0.1995,0.1718,0,290.0154,0.0027,0,0,0.0001,2.0688,2.0499,292.8829,188.5075,1.4523,0,0.1668,3.2905,3.2927,4.7972,0.1883,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,INSTRUMENT NAME:,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,23G100685,23G100685,23H103732,23H106348,23H103732,23H103732,23H105114,23H105114,23H103732,23J102724,23J102724,23H106348,23H106348,23G100685,23G100685,23H103732,23H103732,23H106348,23H103732,23H103732,23H102976,23H102976,23H102976,23H103732,
Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,DO ( % Sat ),DO ( mg/L ),Temp ( °C ),Barometer ( mmHg ),Cond ( µS/cm ),Sal ( psu ),Turbidity ( FNU ),TSS ( mg/L ),Sp Cond ( µS/cm ),Battery Power ( voltage ),Cable Power ( voltage ),GPS Latitude ( ° ),GPS Longitude ( ° ),DO ( % LocalB ),DO ( % CB ),nLFCond ( µS/cm ),TDS ( mg/L ),Altitude ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma-T ),Vertical Position ( m ),Depth ( m ),Absolute Pressure ( psi a ),Water Density ( Sigma ),Fault Code
5/6/2024,1:00:39 PM,0,ROK1,109.4,10.9,6.925,744.7,30897.8,30.28,0.45,0,47188.7,6.08,12,60.56271,-145.96066,111.6,110.3,47974.4,30673,3.7,32,23.7,0.317,0.06,0.087,23.7,0
5/6/2024,1:00:40 PM,0,ROK1,110,10.97,6.92,744.7,30990.4,30.38,0.44,0,47337.5,6.08,12,60.5627,-145.96065,112.3,111,48125.5,30769,3.3,32,23.8,0.325,0.081,0.118,23.8,0
5/6/2024,1:00:41 PM,0,ROK1,110.3,10.99,6.917,744.7,31024.3,30.42,0.44,0,47393.3,6.08,12,60.5627,-145.96065,112.6,111.3,48182.1,30806,3.1,32,23.8,0.36,0.091,0.132,23.8,0
5/6/2024,1:00:42 PM,0,ROK1,110.6,11.01,6.912,744.7,31080,30.49,0.44,0,47485.2,6.08,12,60.5627,-145.96063,112.9,111.5,48275.4,30865,3.1,32,23.9,0.447,0.102,0.149,23.9,0
5/6/2024,1:00:43 PM,0,ROK1,110.8,11.04,6.904,744.7,31110.4,30.52,0.48,0,47540.5,6.08,12,60.5627,-145.96063,113.1,111.8,48331.4,30901,3,32,23.9,0.536,0.119,0.174,23.9,0
5/6/2024,1:00:44 PM,0,ROK1,111.1,11.06,6.895,744.7,31151.3,30.58,0.5,0,47617.3,6.08,12,60.5627,-145.96063,113.3,112,48409.1,30951,3.3,32,24,0.664,0.136,0.199,24,0
5/6/2024,1:00:45 PM,0,ROK1,111.4,11.09,6.886,744.4,31169.3,30.6,0.5,0,47656.6,6.08,12,60.5627,-145.96063,113.7,112.4,48448.8,30977,3.5,32,24,0.832,0.925,1.348,24,0
5/6/2024,1:00:46 PM,0,ROK1,111.7,11.12,6.879,744.4,31181.3,30.63,0.54,0,47686.5,6.08,12,60.5627,-145.96063,114,112.6,48478.9,30996,3.2,32,24,0.975,1.027,1.496,24,0
5/6/2024,1:00:47 PM,0,ROK1,111.9,11.15,6.873,744.5,31192.7,30.64,0.57,0,47711.5,6.08,12,60.5627,-145.96062,114.3,112.9,48504,31012,3.2,32,24,1.042,1.089,1.586,24,0
5/6/2024,1:00:48 PM,0,ROK1,112.2,11.17,6.87,744.6,31206.9,30.66,0.55,0,47736.7,6.08,12,60.5627,-145.96062,114.5,113.2,48529.6,31029,3.3,32,24,1.139,1.167,1.699,24,0
5/6/2024,1:00:49 PM,0,ROK1,112.5,11.2,6.868,744.5,31226.7,30.68,0.48,0,47771.1,6.08,12,60.56269,-145.96062,114.8,113.4,48564.4,31051,3.2,32,24,1.222,1.176,1.713,24,0
5/6/2024,1:00:50 PM,0,ROK1,112.7,11.22,6.865,744.6,31226,30.68,0.5,0,47772.8,6.08,12,60.56269,-145.96062,115,113.6,48566.1,31052,3.3,32,24,1.319,1.234,1.797,24,0
5/6/2024,1:00:52 PM,0,ROK1,113,11.25,6.852,744.6,31255.5,30.73,0.5,0,47833.9,6.08,12,60.56269,-145.96062,115.3,113.9,48627.8,31092,3.5,32,24.1,1.753,1.405,2.046,24.1,0
5/6/2024,1:00:53 PM,0,ROK1,113.1,11.26,6.834,744.7,31297.6,30.79,0.48,0,47926.1,6.08,12,60.56269,-145.9606,115.4,114.1,48720.7,31152,3.5,32,24.1,1.924,1.504,2.191,24.1,0
5/6/2024,1:00:54 PM,0,ROK1,113.3,11.28,6.821,744.6,31305.3,30.81,0.54,0,47954.9,6.08,12,60.56269,-145.9606,115.7,114.3,48749.6,31171,3.5,32,24.1,2.143,1.602,2.334,24.2,0
5/6/2024,1:00:55 PM,0,ROK1,113.5,11.31,6.812,744.7,31305.9,30.82,0.62,0,47970.2,6.08,12,60.56269,-145.9606,115.9,114.5,48764.7,31181,3.6,32,24.2,2.335,2.433,3.543,24.2,0
5/6/2024,1:00:56 PM,0,ROK1,113.8,11.33,6.804,744.7,31308.2,30.83,0.64,0,47983.8,6.08,12,60.56269,-145.9606,116.1,114.8,48778.3,31189,3.8,32,24.2,2.56,2.651,3.861,24.2,0
5/6/2024,1:00:57 PM,0,ROK1,114,11.36,6.8,744.7,31312.4,30.84,0.57,0,47996.5,6.08,12,60.56269,-145.9606,116.3,115,48791.1,31198,3.8,32,24.2,2.719,2.817,4.103,24.2,0
5/6/2024,1:00:58 PM,0,ROK1,114.2,11.37,6.798,744.7,31314.4,30.84,0.52,0,48002.8,6.08,12,60.56268,-145.9606,116.5,115.2,48797.4,31202,4,32,24.2,2.859,2.881,4.197,24.2,0
5/6/2024,1:00:59 PM,0,ROK1,114.4,11.39,6.795,744.7,31316.3,30.85,0.52,0,48010,6.08,12,60.56268,-145.9606,116.7,115.4,48804.6,31206,4.1,32,24.2,3.013,2.93,4.268,24.2,0
5/6/2024,1:01:00 PM,0,ROK1,114.5,11.41,6.792,744.6,31317.8,30.85,0.46,0,48016.7,6.08,12,60.56268,-145.9606,116.9,115.5,48811.3,31211,4.1,32,24.2,3.158,3.044,4.434,24.2,0
5/6/2024,1:01:02 PM,0,ROK1,114.9,11.45,6.789,744.7,31317.1,30.85,0.5,0,48020.2,6.08,12,60.56269,-145.9606,117.3,115.9,48814.7,31213,4,32,24.2,3.528,3.213,4.68,24.2,0
