Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,DO ( % Sat ),DO ( mg/L ),Temp ( °C ),Barometer ( mmHg ),Cond ( µS/cm ),Sal ( psu ),Turbidity ( FNU ),TSS ( mg/L ),Sp Cond ( µS/cm ),Chlorophyll ( µg/L ),Chlorophyll ( RFU ),Phycoerythrin ( RFU ),Battery Power ( voltage ),Cable Power ( voltage ),Phycoerythrin ( µg/L ),GPS Latitude ( ° ),GPS Longitude ( ° ),DO ( % LocalB ),DO ( % CB ),nLFCond ( µS/cm ),TDS ( mg/L ),Altitude ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma-T ),Chlorophyll ( cells/mL ),Phycoerythrin ( cells/mL ),Vertical Position ( m ),Depth ( m ),Absolute Pressure ( psi a ),Water Density ( Sigma ),Fault Code
1/19/2024,1:59:09 PM,0,ROK1,92.4,9.16,6.679,751.6,32499.5,32.24,1,0,49994.2,-0.18,-0.03,-0.39,6.27,11.9,-1.18,60.563,-145.96017,93.5,92.4,50816.9,32496,1.9,31,25.3,0,0,10.457,10.085,14.707,25.4,0
1/19/2024,1:59:10 PM,0,ROK1,92.1,9.11,6.726,751.8,32487.1,32.19,0.98,0,49912.8,-0.12,-0.01,-0.54,6.27,11.9,-1.62,60.563,-145.96017,93.1,92.1,50735.9,32443,1.5,31,25.2,0,0,10.277,10.133,14.777,25.3,0
1/19/2024,1:59:11 PM,0,ROK1,91.8,9.08,6.756,751.6,32445,32.11,0.94,0,49797.5,-0.16,-0.02,-0.44,6.27,11.9,-1.34,60.563,-145.96017,92.8,91.8,50620.1,32368,1.9,31,25.2,0,0,10.149,10.136,14.781,25.2,0
1/19/2024,1:59:12 PM,0,ROK1,91.5,9.05,6.781,751.6,32401.6,32.04,0.9,0,49697,-0.17,-0.02,-0.42,6.27,11.9,-1.26,60.563,-145.96017,92.5,91.5,50518.9,32303,1.7,31,25.1,0,0,9.975,10.117,14.751,25.2,0
1/19/2024,1:59:13 PM,0,ROK1,91.4,9.04,6.788,751.9,32383.4,32.01,0.89,0,49656.3,-0.07,0,-0.61,6.27,11.9,-1.82,60.563,-145.96017,92.4,91.4,50477.8,32277,1.3,31,25.1,0,0,9.856,10.095,14.719,25.2,0
1/19/2024,1:59:14 PM,0,ROK1,91.1,9.01,6.79,751.7,32357.8,31.98,0.87,0,49614.7,-0.04,0.01,-0.55,6.27,11.9,-1.62,60.56299,-145.96017,92.1,91.1,50435.6,32250,0.8,31,25.1,0,0,9.552,10.042,14.642,25.1,0
1/19/2024,1:59:15 PM,0,ROK1,90.8,8.98,6.784,751.5,32259.4,31.88,0.81,0,49469,-0.15,-0.02,-0.41,6.27,11.9,-1.23,60.56298,-145.96019,91.8,90.8,50287.4,32155,-0.3,31,25,0,0,9.313,9.171,13.371,25.1,0
1/19/2024,1:59:16 PM,0,ROK1,90.6,8.97,6.749,751.8,32120.8,31.76,0.77,0,49305,-0.2,-0.03,-0.28,6.27,11.9,-0.89,60.56298,-145.96019,91.6,90.6,50119.4,32048,-1,31,24.9,0,0,9.01,8.817,12.853,25,0
1/19/2024,1:59:17 PM,0,ROK1,89.9,8.91,6.711,751.6,31931.6,31.59,0.76,0,49073.7,-0.22,-0.03,-0.27,6.27,11.9,-0.84,60.56298,-145.9602,90.9,89.9,49882.6,31898,-2.1,31,24.8,0,0,8.626,8.485,12.369,24.8,0
1/19/2024,1:59:19 PM,0,ROK1,89.6,8.91,6.6,751.8,31787.2,31.54,0.63,0,49011.6,-0.01,0.02,-0.33,6.27,11.9,-1.02,60.56298,-145.9602,90.5,89.6,49815,31858,-3.2,31,24.7,0,0,7.975,8.168,11.906,24.8,0
1/19/2024,1:59:20 PM,0,ROK1,89.4,8.91,6.531,751.4,31739.6,31.54,0.63,0,49025,0.07,0.04,-0.24,6.27,11.9,-0.76,60.56298,-145.9602,90.5,89.4,49826.1,31866,-3.1,32,24.8,0,0,7.731,8.024,11.695,24.8,0
1/19/2024,1:59:21 PM,0,ROK1,89.3,8.91,6.46,751.9,31686.5,31.55,0.75,0,49045.8,0.1,0.04,-0.39,6.27,11.9,-1.18,60.56298,-145.96022,90.3,89.3,49844.1,31880,-4.8,32,24.8,0,0,7.447,7.883,11.49,24.8,0
1/19/2024,1:59:22 PM,0,ROK1,89.3,8.93,6.4,751.4,31654.9,31.58,0.73,0,49097.4,0.06,0.03,-0.44,6.27,11.9,-1.32,60.56299,-145.96022,90.4,89.3,49893.5,31913,-4.4,32,24.8,0,0,7.222,7.727,11.263,24.9,0
1/19/2024,1:59:23 PM,0,ROK1,89.4,8.95,6.342,751.5,31650.1,31.62,0.77,0,49163.8,0.02,0.03,-0.43,6.27,11.9,-1.31,60.56298,-145.96022,90.4,89.4,49958.7,31956,-5.4,32,24.8,0,0,6.987,6.851,9.986,24.9,0
1/19/2024,1:59:24 PM,0,ROK1,89.6,8.97,6.298,751.6,31641.4,31.66,0.8,0,49225,-0.08,0,-0.5,6.27,11.9,-1.5,60.563,-145.96022,90.6,89.6,50018.5,31996,-4.8,32,24.9,0,0,6.72,6.611,9.636,24.9,0
1/19/2024,1:59:25 PM,0,ROK1,89.7,8.99,6.258,751.7,31631.1,31.68,0.73,0,49260.6,-0.08,0,-0.44,6.27,11.9,-1.34,60.563,-145.96022,90.7,89.7,50053.1,32019,-4.9,32,24.9,0,0,6.479,6.365,9.278,24.9,0
1/19/2024,1:59:26 PM,0,ROK1,89.7,9,6.228,751.7,31622.1,31.7,0.74,0,49298.2,0.04,0.03,-0.39,6.27,11.9,-1.18,60.563,-145.96022,90.7,89.7,50089.6,32044,-4.3,32,24.9,0,0,6.213,6.116,8.915,25,0
1/19/2024,1:59:27 PM,0,ROK1,89.8,9.02,6.198,751.6,31612.9,31.71,0.72,0,49322.1,-0.08,0,-0.37,6.27,11.9,-1.14,60.563,-145.96022,90.8,89.8,50112.7,32059,-3.8,32,24.9,0,0,5.854,5.997,8.742,25,0
1/19/2024,1:59:28 PM,0,ROK1,89.9,9.02,6.185,751.3,31607.2,31.72,0.66,0,49332.6,-0.09,0,-0.36,6.27,11.9,-1.11,60.563,-145.96022,90.9,89.9,50122.7,32066,-3.5,32,24.9,0,0,5.747,5.919,8.629,25,0
