Kor MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:  ,2/26/2024 16:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,99.4448,10.4872,3.9968,748.15,30275.8981,32.2978,35.0289,0,50557.7071,0.8914,0.2172,0.7598,6.2041,11.9,2.0968,57.7671,-152.4106,101.0281,99.4448,51220.5671,32862.5,4.6619,33,25.6476,0,0,9.2716,9.2425,13.4827,25.7105,
,,,STANDARD DEVIATION:,0.4362,0.0437,0.0085,0.1418,63.5256,0.0766,148.141,0,107.9332,1.9683,0.4921,2.4647,0.0175,0,6.902,0,0.0001,0.4399,0.4362,109.1994,70.1612,3.5195,0,0.0776,0,0,6.3265,6.3338,9.2393,0.0755,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,INSTRUMENT NAME:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,23G100685,23G100685,23H103732,23H106348,23H103732,23H103732,23H105114,23H105114,23H103732,23H105951,23H105951,23H105951,23J102724,23J102724,23H105951,23H106348,23H106348,23G100685,23G100685,23H103732,23H103732,23H106348,23H103732,23H103732,23H105951,23H105951,23H102976,23H102976,23H102976,23H103732,
Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,DO ( % Sat ),DO ( mg/L ),Temp ( °C ),Barometer ( mmHg ),Cond ( µS/cm ),Sal ( psu ),Turbidity ( FNU ),TSS ( mg/L ),Sp Cond ( µS/cm ),Chlorophyll ( µg/L ),Chlorophyll ( RFU ),Phycoerythrin ( RFU ),Battery Power ( voltage ),Cable Power ( voltage ),Phycoerythrin ( µg/L ),GPS Latitude ( ° ),GPS Longitude ( ° ),DO ( % LocalB ),DO ( % CB ),nLFCond ( µS/cm ),TDS ( mg/L ),Altitude ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma-T ),Chlorophyll ( cells/mL ),Phycoerythrin ( cells/mL ),Vertical Position ( m ),Depth ( m ),Absolute Pressure ( psi a ),Water Density ( Sigma ),Fault Code
2/16/2024,1:20:56 PM,0,KIS1,99.5,10.48,4.018,748.1,30278.8,32.29,1.68,0,50528.7,0.39,0.09,0.18,6.21,11.9,0.48,57.76711,-152.41043,101.1,99.5,51193,32844,1.9,33,25.6,0,0,0.196,0.231,0.337,25.6,0
2/16/2024,1:20:57 PM,0,KIS1,99.5,10.49,4.015,748.1,30279.1,32.29,1.73,0,50533.1,0.29,0.07,-0.02,6.21,11.9,-0.1,57.76711,-152.41045,101.1,99.5,51197.3,32847,2.1,33,25.6,0,0,0.236,0.234,0.341,25.6,0
2/16/2024,1:20:58 PM,0,KIS1,99.5,10.49,4.014,748,30278.3,32.29,1.69,0,50533.2,0.3,0.07,0.04,6.21,11.9,0.07,57.76711,-152.41045,101.1,99.5,51197.3,32847,2.4,33,25.6,0,0,0.251,0.235,0.343,25.6,0
2/16/2024,1:20:59 PM,0,KIS1,99.5,10.49,4.013,748.3,30275.1,32.29,1.65,0,50529.5,0.39,0.09,0.09,6.21,11.9,0.23,57.76711,-152.41045,101.1,99.5,51193.4,32844,2.5,33,25.6,0,0,0.242,0.236,0.345,25.6,0
2/16/2024,1:21:02 PM,0,KIS1,99.5,10.49,4.011,748.1,30274.6,32.29,1.6,0,50533.2,0.49,0.12,0.06,6.21,11.9,0.14,57.76711,-152.41045,101.1,99.5,51196.9,32847,2.9,33,25.6,0,0,0.176,0.236,0.344,25.6,0
2/16/2024,1:21:04 PM,0,KIS1,99.5,10.49,4.009,748,30274.7,32.29,1.76,0,50536.1,0.49,0.12,0.06,6.21,11.9,0.13,57.76712,-152.41045,101.1,99.5,51199.7,32848,2.2,33,25.6,0,0,0.249,0.236,0.344,25.6,0
2/16/2024,1:21:05 PM,0,KIS1,99.5,10.49,4.008,748.3,30274.7,32.29,1.61,0,50538.5,0.28,0.06,0.1,6.21,11.9,0.25,57.76712,-152.41043,101.1,99.5,51202,32850,1.6,33,25.6,0,0,0.171,0.234,0.342,25.6,0
2/16/2024,1:21:07 PM,0,KIS1,99.5,10.49,4.006,748,30278.7,32.3,1.76,0,50547.3,0.36,0.09,0.04,6.21,11.9,0.09,57.76712,-152.41045,101.1,99.5,51210.9,32856,1.4,33,25.6,0,0,0.262,0.236,0.344,25.6,0
2/16/2024,1:21:11 PM,0,KIS1,99.5,10.5,4.004,748.3,30280.2,32.3,1.7,0,50554,0.39,0.09,0.19,6.21,11.9,0.51,57.76712,-152.41045,101.1,99.5,51217.4,32860,0.6,33,25.6,0,0,0.24,0.232,0.338,25.6,0
2/16/2024,1:21:12 PM,0,KIS1,99.5,10.49,4.003,748.3,30278.7,32.3,1.61,0,50552.3,0.29,0.07,0.28,6.21,11.9,0.75,57.76712,-152.41045,101.1,99.5,51215.6,32859,0.2,33,25.6,0,0,0.216,0.232,0.338,25.6,0
2/16/2024,1:21:13 PM,0,KIS1,99.5,10.49,4.002,748.1,30276.8,32.3,1.65,0,50550.1,0.4,0.09,0.18,6.21,11.9,0.46,57.76712,-152.41045,101.1,99.5,51213.3,32858,0.1,33,25.6,0,0,0.241,0.231,0.337,25.6,0
2/16/2024,1:21:14 PM,0,KIS1,99.5,10.5,4.002,748.3,30279,32.3,1.68,0,50554.4,0.3,0.07,-0.07,6.21,11.9,-0.22,57.76712,-152.41045,101.1,99.5,51217.7,32860,-0.2,33,25.6,0,0,0.407,0.235,0.343,25.6,0
2/16/2024,1:21:15 PM,0,KIS1,99.5,10.49,4.002,748,30277.6,32.3,1.78,0,50552.6,0.2,0.05,-0.05,6.21,11.9,-0.17,57.76711,-152.41045,101.1,99.5,51215.8,32859,-1.2,33,25.6,0,0,0.538,0.241,0.352,25.6,0
2/16/2024,1:21:16 PM,0,KIS1,99.5,10.5,4.001,748.1,30271,32.29,1.59,0,50542.1,0.3,0.07,0.08,6.21,11.9,0.2,57.76711,-152.41046,101.1,99.5,51205.1,32852,-1.2,33,25.6,0,0,0.757,0.253,0.37,25.6,0
2/16/2024,1:21:17 PM,0,KIS1,99.5,10.5,4.001,748.1,30268.4,32.29,1.44,0,50538.2,0.25,0.06,0.1,6.21,11.9,0.24,57.76711,-152.41046,101.1,99.5,51201.2,32850,-0.9,33,25.6,0,0,0.704,0.265,0.386,25.6,0
2/16/2024,1:21:20 PM,0,KIS1,99.5,10.49,4,748.3,30270.9,32.29,1.7,0,50543.9,0.49,0.12,0,6.21,11.9,-0.04,57.7671,-152.41048,101.1,99.5,51206.8,32854,-0.6,33,25.6,0,0,1.35,1.331,1.942,25.6,0
2/16/2024,1:21:21 PM,0,KIS1,99.5,10.5,4,748,30271,32.29,1.71,0,50544.4,0.5,0.12,0,6.21,11.9,-0.04,57.7671,-152.41049,101.1,99.5,51207.3,32854,0.5,33,25.6,0,0,1.376,1.429,2.085,25.6,0
2/16/2024,1:21:22 PM,0,KIS1,99.5,10.49,4,748.3,30268.4,32.29,1.78,0,50540.4,0.5,0.12,0.05,6.21,11.9,0.11,57.7671,-152.41049,101,99.5,51203.3,32851,0.4,33,25.6,0,0,1.526,1.534,2.238,25.6,0
2/16/2024,1:21:26 PM,0,KIS1,99.5,10.5,3.998,748.2,30268.8,32.29,1.69,0,50543.2,0.42,0.1,-0.04,6.21,11.9,-0.15,57.76709,-152.41049,101.1,99.5,51206,32853,-0.2,33,25.6,0,0,2.041,1.787,2.607,25.6,0
2/16/2024,1:21:27 PM,0,KIS1,99.5,10.5,3.998,748.2,30266.9,32.29,1.75,0,50540.6,0.41,0.1,0.08,6.21,11.9,0.2,57.76709,-152.41049,101.1,99.5,51203.4,32851,0.5,33,25.6,0,0,2.127,1.854,2.704,25.6,0
2/16/2024,1:21:30 PM,0,KIS1,99.5,10.49,3.997,748,30266.8,32.29,1.7,0,50541.8,0.4,0.09,0.19,6.21,11.9,0.5,57.7671,-152.41048,101.1,99.5,51204.5,32852,-0.3,33,25.6,0,0,2.575,2.051,2.992,25.6,0
2/16/2024,1:21:31 PM,0,KIS1,99.5,10.49,3.997,748.3,30269.8,32.29,1.7,0,50547.8,0.51,0.12,0.21,6.21,11.9,0.56,57.7671,-152.41049,101,99.5,51210.5,32856,-0.4,33,25.6,0,0,2.786,2.945,4.296,25.7,0
2/16/2024,1:21:33 PM,0,KIS1,99.5,10.49,3.996,748,30269.7,32.29,1.67,0,50548.2,0.47,0.11,0.11,6.21,11.9,0.28,57.7671,-152.41049,101.1,99.5,51210.9,32856,0,33,25.6,0,0,3.033,3.073,4.482,25.7,0
2/16/2024,1:21:33 PM,0,KIS1,99.5,10.49,3.996,748.2,30268.5,32.29,1.71,0,50546.6,0.42,0.1,0.08,6.21,11.9,0.18,57.7671,-152.41049,101.1,99.5,51209.3,32855,0.2,33,25.6,0,0,2.974,2.951,4.305,25.7,0
2/16/2024,1:21:34 PM,0,KIS1,99.5,10.49,3.996,748.3,30267.7,32.29,1.71,0,50545.9,0.47,0.11,0.15,6.21,11.9,0.38,57.7671,-152.41048,101,99.5,51208.5,32855,0.3,33,25.6,0,0,3.183,3.347,4.883,25.7,0
2/16/2024,1:21:35 PM,0,KIS1,99.5,10.49,3.995,748,30267.9,32.29,1.73,0,50546.9,0.56,0.13,0.06,6.21,11.9,0.14,57.7671,-152.41048,101.1,99.5,51209.5,32856,0.4,33,25.6,0,0,3.41,3.395,4.952,25.7,0
2/16/2024,1:21:36 PM,0,KIS1,99.5,10.49,3.995,748,30269.1,32.3,1.73,0,50549.3,0.62,0.15,0.07,6.21,11.9,0.17,57.7671,-152.41048,101.1,99.5,51211.9,32857,0.6,33,25.6,0,0,3.551,3.471,5.063,25.7,0
2/16/2024,1:21:37 PM,0,KIS1,99.4,10.49,3.995,748.3,30269.8,32.3,1.77,0,50551,0.56,0.13,0.11,6.21,11.9,0.28,57.7671,-152.41048,101,99.4,51213.5,32858,0.6,33,25.6,0,0,3.615,3.522,5.137,25.7,0
2/16/2024,1:21:38 PM,0,KIS1,99.4,10.48,3.994,748,30271.9,32.3,1.86,0,50555,0.48,0.12,0.24,6.21,11.9,0.64,57.7671,-152.41048,101,99.4,51217.6,32861,0.6,33,25.6,0,0,3.718,3.575,5.215,25.7,0
2/16/2024,1:21:40 PM,0,KIS1,99.4,10.49,3.994,748.3,30272.3,32.3,1.53,0,50556.1,0.52,0.12,0,6.21,11.9,-0.03,57.7671,-152.41048,101,99.4,51218.7,32861,1.1,33,25.6,0,0,3.831,3.681,5.37,25.7,0
2/16/2024,1:21:41 PM,0,KIS1,99.4,10.49,3.994,748,30271,32.3,1.64,0,50554.4,0.44,0.1,0.05,6.21,11.9,0.12,57.7671,-152.41048,101,99.4,51217,32860,0.8,33,25.6,0,0,4.246,3.754,5.476,25.7,0
2/16/2024,1:21:42 PM,0,KIS1,99.4,10.49,3.994,748.2,30271.4,32.3,1.69,0,50555.2,0.32,0.07,0.1,6.21,11.9,0.26,57.7671,-152.41048,101,99.4,51217.8,32861,1.1,33,25.6,0,0,4.298,3.785,5.521,25.7,0
2/16/2024,1:21:45 PM,0,KIS1,99.5,10.49,3.993,748.3,30272.3,32.3,1.84,0,50557.3,0.35,0.08,0.32,6.21,11.9,0.86,57.7671,-152.41049,101,99.5,51219.9,32862,1.8,33,25.6,0,0,4.595,4.599,6.708,25.7,0
2/16/2024,1:21:47 PM,0,KIS1,99.5,10.5,3.993,748.2,30271.8,32.3,1.89,0,50556.9,0.37,0.09,-0.01,6.21,11.9,-0.06,57.76709,-152.41049,101.1,99.5,51219.4,32862,2.4,33,25.6,0,0,4.769,4.755,6.937,25.7,0
2/16/2024,1:21:48 PM,0,KIS1,99.5,10.49,3.993,748.2,30273,32.3,1.77,0,50559,0.49,0.12,0.13,6.21,11.9,0.33,57.76709,-152.4105,101.1,99.5,51221.6,32863,2.3,33,25.6,0,0,4.977,4.842,7.063,25.7,0
2/16/2024,1:21:49 PM,0,KIS1,99.5,10.49,3.993,748.3,30272.2,32.3,1.64,0,50557.9,0.39,0.09,0.06,6.21,11.9,0.14,57.7671,-152.41049,101.1,99.5,51220.4,32863,2.2,33,25.6,0,0,5.125,4.991,7.281,25.7,0
2/16/2024,1:21:50 PM,0,KIS1,99.5,10.5,3.993,748.1,30273.1,32.3,1.68,0,50559.4,0.31,0.07,0.05,6.21,11.9,0.11,57.7671,-152.41049,101.1,99.5,51221.9,32864,2.1,33,25.6,0,0,5.011,5.021,7.325,25.7,0
2/16/2024,1:21:51 PM,0,KIS1,99.5,10.49,3.993,748,30274,32.3,1.68,0,50561.1,0.24,0.05,0.11,6.21,11.9,0.29,57.7671,-152.41049,101.1,99.5,51223.7,32865,1.8,33,25.6,0,0,5.249,5.06,7.382,25.7,0
2/16/2024,1:21:52 PM,0,KIS1,99.5,10.5,3.993,748.5,30273.9,32.3,1.54,0,50561.2,0.33,0.08,0.01,6.21,11.9,0,57.76711,-152.41049,101.1,99.5,51223.8,32865,2,33,25.6,0,0,5.376,5.126,7.478,25.7,0
2/16/2024,1:21:53 PM,0,KIS1,99.5,10.5,3.992,748.3,30271.7,32.3,1.6,0,50557.8,0.4,0.09,0.15,6.21,11.9,0.39,57.76711,-152.41049,101.1,99.5,51220.3,32863,1.9,33,25.6,0,0,5.305,5.156,7.521,25.7,0
2/16/2024,1:21:54 PM,0,KIS1,99.6,10.5,3.992,748.3,30270,32.3,1.7,0,50555.2,0.3,0.07,0.21,6.21,11.9,0.55,57.76711,-152.41049,101.1,99.6,51217.6,32861,1.8,33,25.6,0,0,5.458,5.198,7.583,25.7,0
2/16/2024,1:21:55 PM,0,KIS1,99.5,10.5,3.992,748.1,30272.8,32.3,1.58,0,50560,0.2,0.05,0.09,6.21,11.9,0.23,57.76711,-152.41049,101.1,99.5,51222.5,32864,2.1,33,25.6,0,0,5.612,5.257,7.669,25.7,0
2/16/2024,1:21:56 PM,0,KIS1,99.5,10.5,3.992,748.3,30274.1,32.3,1.6,0,50562.2,0.22,0.05,0.13,6.21,11.9,0.32,57.76711,-152.41049,101.1,99.5,51224.7,32865,2.2,33,25.6,0,0,5.686,5.304,7.738,25.7,0
2/16/2024,1:21:58 PM,0,KIS1,99.5,10.49,3.992,748.1,30273,32.3,1.72,0,50560.5,0.28,0.06,0.11,6.21,11.9,0.27,57.76712,-152.41048,101,99.5,51223,32864,0.9,33,25.6,0,0,5.75,5.378,7.845,25.7,0
2/16/2024,1:21:59 PM,0,KIS1,99.6,10.5,3.992,748.3,30273.4,32.3,1.59,0,50561.2,0.39,0.09,0.06,6.21,11.9,0.14,57.76712,-152.41048,101.1,99.6,51223.7,32865,0.5,33,25.6,0,0,5.992,5.442,7.938,25.7,0
2/16/2024,1:22:00 PM,0,KIS1,99.6,10.5,3.992,748.2,30273.9,32.3,1.56,0,50562.2,0.5,0.12,0.06,6.21,11.9,0.14,57.76711,-152.41048,101.1,99.6,51224.7,32865,0.2,33,25.6,0,0,6.005,5.468,7.976,25.7,0
2/16/2024,1:22:01 PM,0,KIS1,99.5,10.5,3.992,748.3,30273.8,32.3,1.59,0,50562.2,0.5,0.12,0.14,6.21,11.9,0.37,57.76711,-152.41049,101.1,99.5,51224.7,32865,0,33,25.6,0,0,6.152,6.253,9.121,25.7,0
2/16/2024,1:22:03 PM,0,KIS1,99.5,10.49,3.991,748.2,30272.8,32.3,1.63,0,50561,0.48,0.11,0.21,6.21,11.9,0.54,57.76711,-152.41048,101.1,99.5,51223.5,32865,-0.2,33,25.6,0,0,6.515,6.535,9.533,25.7,0
2/16/2024,1:22:04 PM,0,KIS1,99.5,10.5,3.991,748.5,30273.6,32.3,1.7,0,50562.6,0.59,0.14,0.15,6.21,11.9,0.38,57.76711,-152.41048,101.1,99.5,51225,32866,-0.3,33,25.6,0,0,6.758,6.847,9.988,25.7,0
2/16/2024,1:22:05 PM,0,KIS1,99.5,10.5,3.991,748.3,30272.9,32.3,1.71,0,50561.8,0.48,0.11,0.07,6.21,11.9,0.18,57.76711,-152.41048,101.1,99.5,51224.2,32865,0,33,25.6,0,0,7.011,6.966,10.162,25.7,0
2/16/2024,1:22:06 PM,0,KIS1,99.6,10.5,3.991,748.2,30273.6,32.3,1.76,0,50563.2,0.49,0.12,0.16,6.21,11.9,0.42,57.76712,-152.41048,101.2,99.6,51225.6,32866,0.9,33,25.6,0,0,6.962,6.982,10.185,25.7,0
2/16/2024,1:22:07 PM,0,KIS1,99.5,10.5,3.991,748.2,30276.5,32.31,1.75,0,50568.3,0.43,0.1,0.11,6.21,11.9,0.27,57.76712,-152.41048,101.1,99.5,51230.8,32869,0.7,33,25.6,0,0,7.502,7.096,10.352,25.7,0
2/16/2024,1:22:08 PM,0,KIS1,99.5,10.5,3.991,748.2,30283.5,32.31,1.55,0,50580.4,0.35,0.08,0.01,6.21,11.9,0,57.76712,-152.41048,101.1,99.5,51243,32877,1.1,33,25.7,0,0,7.573,7.237,10.557,25.7,0
2/16/2024,1:22:09 PM,0,KIS1,99.5,10.5,3.99,748.1,30286.8,32.32,1.6,0,50586.1,0.4,0.1,0.14,6.21,11.9,0.35,57.76712,-152.41048,101.1,99.5,51248.8,32881,1.1,33,25.7,0,0,7.891,8.111,11.832,25.7,0
2/16/2024,1:22:10 PM,0,KIS1,99.5,10.5,3.99,748.2,30284.1,32.31,1.7,0,50581.7,0.56,0.13,0.09,6.21,11.9,0.23,57.76712,-152.41048,101.1,99.5,51244.3,32878,1.5,33,25.7,0,0,8.196,8.308,12.119,25.7,0
2/16/2024,1:22:11 PM,0,KIS1,99.5,10.5,3.99,748.3,30282.1,32.31,1.88,0,50578.3,0.62,0.15,0.14,6.21,11.9,0.35,57.76712,-152.41048,101.1,99.5,51240.9,32876,2,33,25.7,0,0,8.398,8.481,12.372,25.7,0
2/16/2024,1:22:13 PM,0,KIS1,99.5,10.5,3.99,748.2,30281.9,32.31,1.79,0,50578.2,0.21,0.05,0.22,6.21,11.9,0.58,57.76712,-152.41049,101.1,99.5,51240.8,32876,2.2,33,25.7,0,0,8.89,8.761,12.78,25.7,0
2/16/2024,1:22:14 PM,0,KIS1,99.6,10.5,3.99,748.3,30284.2,32.31,1.75,0,50582.2,0.29,0.07,0.2,6.21,11.9,0.54,57.76712,-152.41049,101.1,99.6,51244.8,32878,2.4,33,25.7,0,0,8.98,8.915,13.004,25.7,0
