Kor MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:  ,11/2/2023 11:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,112.628,10.7048,9.5191,765.556,30025.724,27.3532,127.1776,0,42608.904,5.534,1.4456,4.1456,6.3404,11.9,9.2256,60.657,-145.8915,111.808,117.572,43363.508,27695.76,15.12,1889.64,21.048,0,0,1.8112,1.8098,2.6311,21.084,
,,,STANDARD DEVIATION:,0.8591,0.087,0.1071,0.1329,6275.3343,5.7393,612.0409,0,8896.122,4.1921,1.0485,3.1513,0.002,0,8.8232,0,0,0.8494,0.9089,9053.7153,5782.509,0.3784,9099.5197,4.4589,0,0,1.1511,1.1182,1.6262,4.469,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,INSTRUMENT NAME:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,23G100693,23G100693,23H103732,23H106348,23H103732,23H103732,23H105119,23H105119,23H103732,23H105951,23H105951,23H105951,23J102724,23J102724,23H105951,23H106348,23H106348,23G100693,23G100693,23H103732,23H103732,23H106348,23H103732,23H103732,23H105951,23H105951,23H102976,23H102976,23H102976,23H103732,
Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,DO ( % Sat ),DO ( mg/L ),Temp ( °C ),Barometer ( mmHg ),Cond ( µS/cm ),Sal ( psu ),Turbidity ( FNU ),TSS ( mg/L ),Sp Cond ( µS/cm ),Chlorophyll ( µg/L ),Chlorophyll ( RFU ),Phycoerythrin ( RFU ),Battery Power ( voltage ),Cable Power ( voltage ),Phycoerythrin ( µg/L ),GPS Latitude ( ° ),GPS Longitude ( ° ),DO ( % LocalB ),DO ( % CB ),nLFCond ( µS/cm ),TDS ( mg/L ),Altitude ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma-T ),Chlorophyll ( cells/mL ),Phycoerythrin ( cells/mL ),Vertical Position ( m ),Depth ( m ),Absolute Pressure ( psi a ),Water Density ( Sigma ),Fault Code
10/25/2023,2:11:10 PM,0,SBO1,112.5,10.67,9.512,765.4,31714.6,28.95,0.55,0,45036.2,10.35,2.65,9.55,6.35,11.9,24.35,60.65705,-145.89151,111.7,117.4,45833.7,29274,14.3,32,22.3,0,0,3.365,3.085,4.486,22.3,0
10/25/2023,2:11:12 PM,0,SBO1,112.4,10.66,9.494,765.2,31726.7,28.98,0.69,0,45076.5,11.1,2.84,8.63,6.34,11.9,21.78,60.65705,-145.89151,111.6,117.3,45874.7,29300,14.8,32,22.3,0,0,3.491,3.207,4.663,22.4,0
10/25/2023,2:11:14 PM,0,SBO1,112.3,10.66,9.492,765.6,31743.5,29,0.55,0,45103.6,11.4,2.91,7.81,6.34,11.9,19.48,60.65705,-145.8915,111.5,117.3,45902.2,29317,14.9,32,22.3,0,0,3.49,3.242,4.714,22.4,0
10/25/2023,2:11:15 PM,0,SBO1,112.3,10.65,9.494,765.5,31746.7,29,0.71,0,45105.7,8.09,2.08,8.14,6.34,11.9,20.41,60.65706,-145.8915,111.5,117.3,45904.4,29319,15.1,31,22.3,0,0,3.498,3.256,4.735,22.4,0
