Kor MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:  ,10/22/23 15:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,97.0462,10.9671,8.1353,,8134.4353,7.575,27.4405,0,11799.7471,0.2845,0.1328,-0.3079,5.9502,0,-3.2421,,,,101.3097,12006.8218,7669.979,,-58032791.58,5.8496,0,0,1.1021,1.1013,1.5905,5.8546,
,,,STANDARD DEVIATION:,2.0076,1.0786,0.8648,,13702.5221,12.7619,252.9194,0,19877.2652,0.5296,0.1328,0.4884,0.0205,0,1.3673,,,,2.0926,20226.0567,12920.1589,,514776033.6,9.9915,0,0,1.2623,1.2626,1.8419,9.9999,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,INSTRUMENT NAME:,,,,,,,,,,,,,Sonde 23J102724,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,23G100693,23G100693,23H103732,,23H103732,23H103732,23H105119,23H105119,23H103732,23H105951,23H105951,23H105951,23J102724,23J102724,23H105951,,,,23G100693,23H103732,23H103732,,23H103732,23H103732,23H105951,23H105951,23H102976,23H102976,23H102976,23H103732,
Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,DO ( % Sat ),DO ( mg/L ),Temp ( °C ),Barometer,Cond ( µS/cm ),Sal ( psu ),Turbidity ( FNU ),TSS ( mg/L ),Sp Cond ( µS/cm ),Chlorophyll ( µg/L ),Chlorophyll ( RFU ),Phycoerythrin ( RFU ),Battery Power ( voltage ),Cable Power ( voltage ),Phycoerythrin ( µg/L ),GPS Latitude ( ° ),GPS Longitude ( ° ),DO ( % LocalB ),DO ( % CB ),nLFCond ( µS/cm ),TDS ( mg/L ),Altitude ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma-T ),Chlorophyll ( cells/mL ),Phycoerythrin ( cells/mL ),Vertical Position ( m ),Depth ( m ),Absolute Pressure ( psi a ),Water Density ( Sigma ),Fault Code
10/22/23,12:38:12 PM,0,ROK1,99.3,12.11,6.783,,0,0,15.31,0,0,0.59,0.21,0.26,5.97,0,-1.64,,,,103.6,0,0,,154310190,,0,0,0.464,0.464,0.66,,0
10/22/23,12:38:13 PM,0,ROK1,99.2,12.11,6.759,,0,0,15.26,0,0,0.8,0.26,0.3,5.97,0,-1.53,,,,103.6,0,0,,124818430,,0,0,0.469,0.465,0.662,,0
10/22/23,12:38:14 PM,0,ROK1,99.3,12.12,6.736,,0,0,15.25,0,0,0.8,0.26,0.15,5.97,0,-1.95,,,,103.6,0,0,,124819970,,0,0,0.467,0.465,0.662,,0
10/22/23,12:38:15 PM,0,ROK1,99.3,12.13,6.722,,0,0,15.3,0,0,0.72,0.24,0.03,5.97,0,-2.3,,,,103.6,0,0,,-1503118800,,0,0,0.465,0.465,0.661,,0
10/22/23,12:38:16 PM,0,ROK1,99.4,12.15,6.711,,0,0,15.33,0,0,0.8,0.26,0.09,5.97,0,-2.12,,,,103.7,0,0,,-147274350,,0,0,0.464,0.465,0.661,,0
10/22/23,12:38:17 PM,0,ROK1,99.2,12.13,6.697,,0,0,15.28,0,0,1.15,0.35,0.18,5.97,0,-1.89,,,,103.6,0,0,,-593175100,,0,0,0.462,0.464,0.66,,0
10/22/23,12:38:18 PM,0,ROK1,98.8,12.09,6.672,,0,0,15.24,0,0,1.19,0.36,0.21,5.91,0,-1.78,,,,103.2,0,0,,-593340600,,0,0,0.472,0.463,0.659,,0
10/22/23,12:38:19 PM,0,ROK1,98.8,12.09,6.642,,0,0,15.31,0,0,0.76,0.25,0.16,5.91,0,-1.92,,,,103.2,0,0,,-455438560,,0,0,0.469,0.467,0.665,,0
10/22/23,12:38:20 PM,0,ROK1,98.9,12.12,6.608,,0,0,15.21,0,0,0.71,0.24,0.09,5.91,0,-2.14,,,,103.3,0,0,,2809165000,,0,0,0.463,0.462,0.658,,0
10/22/23,12:38:21 PM,0,ROK1,98.9,12.13,6.582,,0,0,15.16,0,0,0.68,0.23,0.1,5.91,0,-2.11,,,,103.3,0,0,,1154426100,,0,0,0.461,0.462,0.657,,0
10/22/23,12:38:22 PM,0,ROK1,98.8,12.12,6.55,,0,0,15.25,0,0,2.32,0.64,0.16,5.91,0,-1.92,,,,103.1,0,0,,154323440,,0,0,0.462,0.462,0.657,,0
10/22/23,12:38:23 PM,0,ROK1,97.9,12.02,6.514,,0,0,15.21,0,0,2.74,0.75,0.05,5.91,0,-2.24,,,,102.2,0,0,,417238400,,0,0,0.467,0.462,0.657,,0
10/22/23,12:38:24 PM,0,ROK1,97.6,11.99,6.468,,0,0,15.29,0,0,1.19,0.36,0.2,5.91,0,-1.82,,,,101.8,0,0,,-235983840,,0,0,0.463,0.462,0.657,,0
10/22/23,12:38:25 PM,0,ROK1,97.4,11.98,6.435,,0,0,15.37,0,0,0.95,0.3,0.31,5.91,0,-1.51,,,,101.7,0,0,,-120180870,,0,0,0.459,0.462,0.657,,0
10/22/23,12:38:26 PM,0,ROK1,97.3,11.98,6.408,,0,0,15.37,0,0,1.26,0.38,-0.11,5.91,0,-2.68,,,,101.6,0,0,,-173343520,,0,0,0.462,0.462,0.658,,0
10/22/23,12:38:27 PM,0,ROK1,97.4,12,6.413,,0,0,15.55,0,0,1.14,0.35,-0.19,5.91,0,-2.92,,,,101.7,0,0,,-235997070,,0,0,0.466,0.463,0.658,,0
