Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,DO ( % Sat ),DO ( mg/L ),Temp ( °C ),Barometer ( mmHg ),Cond ( µS/cm ),Sal ( psu ),Turbidity ( FNU ),TSS ( mg/L ),Sp Cond ( µS/cm ),Chlorophyll ( µg/L ),Chlorophyll ( RFU ),Phycoerythrin ( RFU ),Battery Power ( voltage ),Cable Power ( voltage ),Phycoerythrin ( µg/L ),GPS Latitude ( ° ),GPS Longitude ( ° ),DO ( % LocalB ),DO ( % CB ),nLFCond ( µS/cm ),TDS ( mg/L ),Altitude ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma-T ),Chlorophyll ( cells/mL ),Phycoerythrin ( cells/mL ),Vertical Position ( m ),Depth ( m ),Absolute Pressure ( psi a ),Water Density ( Sigma ),Fault Code
1/19/2024,3:54:08 PM,0,SBO1,90.2,9.3,5.182,750.1,30540.4,31.47,1.37,0,49142.4,0,0.02,-0.34,6.27,11.9,-1.04,60.65704,-145.89146,91.4,90.2,49873.6,31943,1.8,33,24.9,0,0,0.553,0.552,0.805,24.9,0
1/19/2024,3:54:09 PM,0,SBO1,90,9.28,5.168,750,30460.1,31.39,1.34,0,49034.2,-0.02,0.01,-0.5,6.27,11.9,-1.5,60.65704,-145.89145,91.2,90,49762.9,31872,1.4,33,24.8,0,0,0.557,0.552,0.805,24.8,0
1/19/2024,3:54:10 PM,0,SBO1,89.9,9.28,5.153,750.3,30466.2,31.41,1.26,0,49064.1,0,0.02,-0.29,6.27,11.9,-0.92,60.65704,-145.89146,91.1,89.9,49792.5,31892,1.6,33,24.8,0,0,0.558,0.552,0.804,24.8,0
1/19/2024,3:54:10 PM,0,SBO1,89.9,9.28,5.145,750.3,30466.8,31.42,1.34,0,49078.4,-0.12,-0.01,-0.25,6.27,11.9,-0.8,60.65704,-145.89146,91.1,89.9,49806.4,31901,1.5,33,24.8,0,0,0.544,0.551,0.804,24.8,0
1/19/2024,3:54:11 PM,0,SBO1,89.9,9.27,5.14,749.8,30470.6,31.43,1.34,0,49091.5,-0.11,-0.01,-0.34,6.27,11.9,-1.05,60.65704,-145.89146,91.1,89.9,49819.4,31909,1.4,33,24.8,0,0,0.624,0.552,0.805,24.8,0
1/19/2024,3:54:13 PM,0,SBO1,90.6,9.34,5.195,750,30861.7,31.82,1.47,0,49638.9,-0.03,0.01,-0.12,6.27,11.9,-0.43,60.65704,-145.89146,91.8,90.6,50378.4,32265,2.1,32,25.1,0,0,0.936,0.567,0.826,25.1,0
1/19/2024,3:54:15 PM,0,SBO1,90.9,9.34,5.282,749.9,30978.6,31.88,1.42,0,49711,-0.08,0,0.03,6.27,11.9,-0.02,60.65704,-145.89146,92.1,90.9,50456.4,32312,2,32,25.2,0,0,1.201,1.37,1.997,25.2,0
1/19/2024,3:54:16 PM,0,SBO1,91.2,9.35,5.369,750,31159.5,31.99,1.45,0,49851.8,-0.12,-0.01,-0.02,6.27,11.9,-0.16,60.65704,-145.89148,92.4,91.2,50605.4,32404,2,32,25.3,0,0,1.441,1.521,2.218,25.3,0
1/19/2024,3:54:16 PM,0,SBO1,91.1,9.31,5.476,749.9,31193.2,31.94,1.48,0,49762.5,-0.12,-0.01,-0.08,6.27,11.9,-0.33,60.65704,-145.89148,92.3,91.1,50520.4,32346,2.1,32,25.2,0,0,1.586,1.671,2.436,25.2,0
1/19/2024,3:54:18 PM,0,SBO1,91.5,9.34,5.557,750,31426,32.12,1.33,0,49990.9,-0.03,0.01,-0.18,6.27,11.9,-0.6,60.65704,-145.89148,92.8,91.5,50757.9,32494,2.4,32,25.3,0,0,1.836,1.924,2.805,25.3,0
