Date (MM/DD/YYYY),Time (hh:mm:ss tt),Time (Fract. Sec),Site Name,DO ( % Sat ),DO ( mg/L ),Temp ( °C ),Barometer ( mmHg ),Cond ( µS/cm ),Sal ( psu ),Turbidity ( FNU ),TSS ( mg/L ),Sp Cond ( µS/cm ),Chlorophyll ( µg/L ),Chlorophyll ( RFU ),Phycoerythrin ( RFU ),Battery Power ( voltage ),Cable Power ( voltage ),Phycoerythrin ( µg/L ),GPS Latitude ( ° ),GPS Longitude ( ° ),DO ( % LocalB ),DO ( % CB ),nLFCond ( µS/cm ),TDS ( mg/L ),Altitude ( m ),Resistivity ( ohms-cm ),Water Density ( Sigma-T ),Chlorophyll ( cells/mL ),Phycoerythrin ( cells/mL ),Vertical Position ( m ),Depth ( m ),Absolute Pressure ( psi a ),Water Density ( Sigma ),Fault Code
1/19/2024,3:11:02 PM,0,SBR1,92.4,9.29,6.135,750.5,31641.2,31.81,0.58,0,49464.3,-0.16,-0.02,-0.3,6.27,11.9,-0.95,60.63699,-146.00447,93.6,92.4,50253.9,32152,4.1,32,25,0,0,0.569,0.493,0.719,25,0
1/19/2024,3:11:03 PM,0,SBR1,92.3,9.28,6.137,750.5,31640.2,31.81,0.52,0,49460.1,-0.03,0.01,-0.31,6.27,11.9,-0.97,60.63699,-146.00447,93.5,92.3,50249.8,32149,4.4,32,25,0,0,0.557,0.507,0.739,25,0
1/19/2024,3:11:04 PM,0,SBR1,92.2,9.27,6.138,750.5,31641,31.81,0.64,0,49459.2,0.05,0.03,-0.33,6.27,11.9,-1.02,60.63699,-146.00447,93.4,92.2,50248.9,32148,4.5,32,25,0,0,0.591,0.523,0.762,25,0
1/19/2024,3:11:05 PM,0,SBR1,92.1,9.25,6.139,750.3,31639.3,31.8,0.69,0,49455.7,0,0.02,-0.2,6.27,11.9,-0.67,60.63698,-146.00447,93.3,92.1,50245.4,32146,4.9,32,25,0,0,0.544,0.537,0.783,25,0
1/19/2024,3:11:06 PM,0,SBR1,92,9.25,6.138,750.6,31639.3,31.81,0.66,0,49456.8,-0.12,-0.01,-0.17,6.27,11.9,-0.56,60.63698,-146.00447,93.1,92,50246.5,32147,4.9,32,25,0,0,0.602,0.554,0.808,25,0
1/19/2024,3:11:08 PM,0,SBR1,91.8,9.23,6.141,750.3,31638.8,31.8,0.67,0,49451.5,0.02,0.03,-0.44,6.27,11.9,-1.33,60.63698,-146.00447,93,91.8,50241.3,32143,4.9,32,25,0,0,0.576,0.567,0.827,25,0
1/19/2024,3:11:10 PM,0,SBR1,91.6,9.21,6.146,750.5,31640.8,31.8,0.71,0,49446.7,-0.14,-0.01,-0.15,6.27,11.9,-0.51,60.63697,-146.00446,92.8,91.6,50236.7,32140,5.2,32,25,0,0,0.564,0.571,0.833,25,0
1/19/2024,3:11:11 PM,0,SBR1,91.5,9.2,6.147,750.5,31644.3,31.8,0.67,0,49450.7,-0.19,-0.03,-0.3,6.27,11.9,-0.94,60.63697,-146.00446,92.7,91.5,50240.7,32143,5.5,32,25,0,0,0.579,0.571,0.833,25,0
1/19/2024,3:11:12 PM,0,SBR1,91.5,9.2,6.148,750.6,31643.1,31.8,0.61,0,49448.1,0.02,0.03,-0.25,6.27,11.9,-0.79,60.63697,-146.00446,92.6,91.5,50238.1,32141,5.6,32,25,0,0,0.536,0.571,0.832,25,0
1/19/2024,3:11:13 PM,0,SBR1,91.4,9.19,6.149,750.4,31642.1,31.8,0.73,0,49444.9,0.15,0.06,-0.32,6.27,11.9,-1.01,60.63697,-146.00446,92.6,91.4,50234.9,32139,5.6,32,25,0,0,0.601,0.571,0.833,25,0
